x,t=1.00e+02s,t=1.70e+04s,t=8.00e+05s
0.000000000000000000e+00,1.838152232121176250e+14,1.838152232121176250e+14,1.838152232121176875e+14
6.122448979591836674e-08,1.800905004403984062e+14,1.803819672412417500e+14,1.804967213710639062e+14
1.224489795918367335e-07,1.763657777662618750e+14,1.769487112757055312e+14,1.771782195300102188e+14
1.836734693877551002e-07,1.726410552872910000e+14,1.735154553208482500e+14,1.738597176889564688e+14
2.448979591836734669e-07,1.689163331010671875e+14,1.700821993820096875e+14,1.705412158479028438e+14
3.061224489795918337e-07,1.651916113051712812e+14,1.666489434645289062e+14,1.672227140068493750e+14
3.673469387755102004e-07,1.614668899971819062e+14,1.632156875737459688e+14,1.639042121657956875e+14
4.285714285714285672e-07,1.577421692746765938e+14,1.597824317150001250e+14,1.605857103247418438e+14
4.897959183673469339e-07,1.540174492352300000e+14,1.563491758936307812e+14,1.572672084836881562e+14
5.510204081632653006e-07,1.502927299764141562e+14,1.529159201149776250e+14,1.539487066426346562e+14
6.122448979591836674e-07,1.465680115957981250e+14,1.494826643843802188e+14,1.506302048015810312e+14
6.734693877551020341e-07,1.428432941909475312e+14,1.460494087071779375e+14,1.473117029605274062e+14
7.346938775510204008e-07,1.391185778594239375e+14,1.426161530887101875e+14,1.439932011194735938e+14
7.959183673469387676e-07,1.353938626987849531e+14,1.391828975343167344e+14,1.406746992784200156e+14
8.571428571428571343e-07,1.316691488065832344e+14,1.357496420493369219e+14,1.373561974373662969e+14
9.183673469387755011e-07,1.279444362803667344e+14,1.323163866391102344e+14,1.340376955963127344e+14
9.795918367346938678e-07,1.242197252176774688e+14,1.288831313089761094e+14,1.307191937552589062e+14
1.040816326530612340e-06,1.204950157160526406e+14,1.254498760642742188e+14,1.274006919142052031e+14
1.102040816326530601e-06,1.167703078730224688e+14,1.220166209103439844e+14,1.240821900731515625e+14
1.163265306122448862e-06,1.130456017861108750e+14,1.185833658525248594e+14,1.207636882320979375e+14
1.224489795918367335e-06,1.093208975528346875e+14,1.151501108961564219e+14,1.174451863910443750e+14
1.285714285714285807e-06,1.055961952707037500e+14,1.117168560465778750e+14,1.141266845499906562e+14
1.346938775510204068e-06,1.018714950372199219e+14,1.082836013091290312e+14,1.108081827089370156e+14
1.408163265306122329e-06,9.814679694987712500e+13,1.048503466891490938e+14,1.074896808678834062e+14
1.469387755102040802e-06,9.442210110616056250e+13,1.014170921919775938e+14,1.041711790268298281e+14
1.530612244897959274e-06,9.069740760354685938e+13,9.798383782295404688e+13,1.008526771857762344e+14
1.591836734693877535e-06,8.697271653950325000e+13,9.455058358741781250e+13,9.753417534472256250e+13
1.653061224489795796e-06,8.324802801148751562e+13,9.111732949070837500e+13,9.421567350366884375e+13
1.714285714285714269e-06,7.952334211694695312e+13,8.768407553816512500e+13,9.089717166261532812e+13
1.775510204081632741e-06,7.579865895331907812e+13,8.425082173512753125e+13,8.757866982156160938e+13
1.836734693877551002e-06,7.207397861803018750e+13,8.081756808693504688e+13,8.426016798050800000e+13
1.897959183673469263e-06,6.834930120849564062e+13,7.738431459892700000e+13,8.094166613945445312e+13
1.959183673469387736e-06,6.462462682211907031e+13,7.395106127644281250e+13,7.762316429840084375e+13
2.020408163265306208e-06,6.089995555629235938e+13,7.051780812482189062e+13,7.430466245734725000e+13
2.081632653061224681e-06,5.717528750839494531e+13,6.708455514940362500e+13,7.098616061629357812e+13
2.142857142857142730e-06,5.345062277579359375e+13,6.365130235552742969e+13,6.766765877524004688e+13
2.204081632653061203e-06,4.972596145584198438e+13,6.021804974853260938e+13,6.434915693418646094e+13
2.265306122448979675e-06,4.600130364588044531e+13,5.678479733375858594e+13,6.103065509313284375e+13
2.326530612244897724e-06,4.227664944323529688e+13,5.335154511654464062e+13,5.771215325207925000e+13
2.387755102040816197e-06,3.855199894521862500e+13,4.991829310223018750e+13,5.439365141102571875e+13
2.448979591836734669e-06,3.482735224912807031e+13,4.648504129615454688e+13,5.107514956997210938e+13
2.510204081632653142e-06,3.110270945224611328e+13,4.305178970365700781e+13,4.775664772891853906e+13
2.571428571428571615e-06,2.737807065183998828e+13,3.961853833007693750e+13,4.443814588786496094e+13
2.632653061224489664e-06,2.365343594516107031e+13,3.618528718075360156e+13,4.111964404681140625e+13
2.693877551020408136e-06,1.992880542944461719e+13,3.275203626102626562e+13,3.780114220575783594e+13
2.755102040816326609e-06,1.620417920190940430e+13,2.931878557623428125e+13,3.448264036470430078e+13
2.816326530612244658e-06,1.247955735975727734e+13,2.588553513171689062e+13,3.116413852365076562e+13
2.877551020408163131e-06,8.754940000172777344e+12,2.245228493281334375e+13,2.784563668259721094e+13
2.938775510204081603e-06,5.030327220322817383e+12,1.901903498486289844e+13,2.452713484154366406e+13
3.000000000000000076e-06,1.305719117356254639e+12,1.558578529320481445e+13,2.120863300049016406e+13
3.000000000000000076e-06,2.441694749456197500e+14,2.914541849829299000e+15,3.966014371091660000e+15
6.422448979591836935e-05,1.640557744096456875e+14,2.831401118741775000e+15,3.885075301809867000e+15
1.254489795918367200e-04,1.044873473665908594e+14,2.749455947880767500e+15,3.804136232552508500e+15
1.866734693877550842e-04,6.290714893453942969e+13,2.668707462120564000e+15,3.723197163319594000e+15
2.478979591836734755e-04,3.573395351488940625e+13,2.589155417517807500e+15,3.642258094111136500e+15
3.091224489795918397e-04,1.913293383808267969e+13,2.510798201849278000e+15,3.561319024927089500e+15
3.703469387755102039e-04,9.655107142624308594e+12,2.433632836815208000e+15,3.480379955767397500e+15
4.315714285714285681e-04,4.595336973806330078e+12,2.357654981902055000e+15,3.399440886631975000e+15
4.927959183673468781e-04,2.065806114632219238e+12,2.282858939895808000e+15,3.318501817520705500e+15
5.540204081632652423e-04,8.789712155378011475e+11,2.209237664034037000e+15,3.237562748433447500e+15
6.152448979591836065e-04,3.548940530577340698e+11,2.136782766782067250e+15,3.156623679370029500e+15
