x,t=5.00e-02s,t=1.00e+00s,t=1.00e+01s,t=1.00e+02s
0.000000000000000000e+00,3.290468754020423828e+12,3.290468754020423828e+12,3.290468754020423828e+12,3.290468754020423828e+12
5.025125628140703619e-05,-8.816741923254559326e+11,-8.816741923254559326e+11,-8.816741923254559326e+11,-8.816741923254559326e+11
1.005025125628140724e-04,2.362427482293970947e+11,2.362427482293970947e+11,2.362427482293970947e+11,2.362427482293970947e+11
1.507537688442211153e-04,-6.330074825460776520e+10,-6.330074825460776520e+10,-6.330074825460776520e+10,-6.330074825460776520e+10
2.010050251256281448e-04,1.696130255690368462e+10,1.696130255690368462e+10,1.696130255690368462e+10,1.696130255690368462e+10
2.512562814070352013e-04,-4.544745399686274529e+09,-4.544745399686274529e+09,-4.544745399686274529e+09,-4.544745399686274529e+09
3.015075376884422307e-04,1.217754985424899101e+09,1.217754985424899101e+09,1.217754985424899101e+09,1.217754985424899101e+09
3.517587939698492601e-04,-3.262948909370287657e+08,-3.262948909370287657e+08,-3.262948909370287657e+08,-3.262948909370287657e+08
4.020100502512562895e-04,8.743003077458852530e+07,8.743003077458852530e+07,8.743003077458852530e+07,8.743003077458852530e+07
4.522613065326633189e-04,-2.342669313421979919e+07,-2.342669313421979919e+07,-2.342669313421979919e+07,-2.342669313421979919e+07
5.025125628140704025e-04,6.277133226909640245e+06,6.277133226909640245e+06,6.277133226909640245e+06,6.277133226909640245e+06
5.527638190954773777e-04,-1.681944665541255381e+06,-1.681944665541255381e+06,-1.681944665541255381e+06,-1.681944665541255381e+06
6.030150753768844614e-04,4.506735408793346724e+05,4.506735408793346724e+05,4.506735408793346724e+05,4.506735408793346724e+05
6.532663316582914366e-04,-1.207570288189929997e+05,-1.207570288189929997e+05,-1.207570288189929997e+05,-1.207570288189929997e+05
7.035175879396985202e-04,3.235659227018046295e+04,3.235659227018046295e+04,3.235659227018046295e+04,3.235659227018046295e+04
7.537688442211054954e-04,-8.669880946706702161e+03,-8.669880946706702161e+03,-8.669880946706702161e+03,-8.669880946706702161e+03
8.040201005025125790e-04,2.323076392050750201e+03,2.323076392050750201e+03,2.323076392050750201e+03,2.323076392050750201e+03
8.542713567839196626e-04,-6.224634405566423538e+02,-6.224634405566423538e+02,-6.224634405566423538e+02,-6.224634405566423538e+02
9.045226130653266378e-04,1.667877716615129486e+02,1.667877716615129486e+02,1.667877716615129486e+02,1.667877716615129486e+02
9.547738693467337215e-04,-4.469043314565821845e+01,-4.469043314565821845e+01,-4.469043314565821845e+01,-4.469043314565821845e+01
1.005025125628140805e-03,1.197470770698843978e+01,1.197470770698843978e+01,1.197470770698843978e+01,1.197470770698843978e+01
1.055276381909547780e-03,-3.208597782000671916e+00,-3.208597782000671916e+00,-3.208597782000671916e+00,-3.208597782000671916e+00
1.105527638190954755e-03,8.597370373100137186e-01,8.597370373100137186e-01,8.597370373100137186e-01,8.597370373100137186e-01
1.155778894472361731e-03,-2.303647336132340906e-01,-2.303647336132340906e-01,-2.303647336132340906e-01,-2.303647336132340906e-01
1.206030150753768923e-03,6.172574658262709041e-02,6.172574658262709041e-02,6.172574658262709041e-02,6.172574658262709041e-02
1.256281407035175898e-03,-1.653928416655790073e-02,-1.653928416655790073e-02,-1.653928416655790073e-02,-1.653928416655790073e-02
1.306532663316582873e-03,4.431666458274047954e-03,4.431666458274047954e-03,4.431666458274047954e-03,4.431666458274047954e-03
1.356783919597990065e-03,-1.187455720550611169e-03,-1.187455720550611169e-03,-1.187455720550611169e-03,-1.187455720550611169e-03
1.407035175879397040e-03,3.181762665454576189e-04,3.181762665454576189e-04,3.181762665454576189e-04,3.181762665454576189e-04
1.457286432160804016e-03,-8.525466241879231153e-05,-8.525466241879231153e-05,-8.525466241879231153e-05,-8.525466241879231153e-05
1.507537688442210991e-03,2.284380775177583431e-05,2.284380775177583431e-05,2.284380775177583431e-05,2.284380775177583431e-05
1.557788944723618183e-03,-6.120950312801535096e-06,-6.120950312801535096e-06,-6.120950312801535096e-06,-6.120950312801535096e-06
1.608040201005025158e-03,1.640095781705770745e-06,1.640095781705770745e-06,1.640095781705770745e-06,1.640095781705770745e-06
1.658291457286432133e-03,-4.394602203424674872e-07,-4.394602203424674872e-07,-4.394602203424674872e-07,-4.394602203424674872e-07
1.708542713567839325e-03,1.177524431302372979e-07,1.177524431302372979e-07,1.177524431302372979e-07,1.177524431302372979e-07
1.758793969849246300e-03,-3.155151984480955105e-08,-3.155151984480955105e-08,-3.155151984480955105e-08,-3.155151984480955105e-08
1.809045226130653276e-03,8.454163481061392136e-09,8.454163481061392136e-09,8.454163481061392136e-09,8.454163481061392136e-09
1.859296482412060251e-03,-2.265275350159391940e-09,-2.265275350159391940e-09,-2.265275350159391940e-09,-2.265275350159391940e-09
1.909547738693467443e-03,6.069757727698381481e-10,6.069757727698381481e-10,6.069757727698381481e-10,6.069757727698381481e-10
1.959798994974874201e-03,-1.626378836036933612e-10,-1.626378836036933612e-10,-1.626378836036933612e-10,-1.626378836036933612e-10
2.010050251256281610e-03,4.357847935574663288e-11,4.357847935574663288e-11,4.357847935574663288e-11,4.357847935574663288e-11
2.060301507537688585e-03,-1.167676202419607372e-11,-1.167676202419607372e-11,-1.167676202419607372e-11,-1.167676202419607372e-11
2.110552763819095561e-03,3.128763862012265046e-12,3.128763862012265046e-12,3.128763862012265046e-12,3.128763862012265046e-12
2.160804020100502536e-03,-8.383457061083568337e-13,-8.383457061083568337e-13,-8.383457061083568337e-13,-8.383457061083568337e-13
2.211055276381909511e-03,2.246329713416909986e-13,2.246329713416909986e-13,2.246329713416909986e-13,2.246329713416909986e-13
2.261306532663316486e-03,-6.018993291924246605e-14,-6.018993291924246605e-14,-6.018993291924246605e-14,-6.018993291924246605e-14
2.311557788944723461e-03,1.612776612081661744e-14,1.612776612081661744e-14,1.612776612081661744e-14,1.612776612081661744e-14
2.361809045226130870e-03,-4.321401062146855152e-15,-4.321401062146855152e-15,-4.321401062146855152e-15,-4.321401062146855152e-15
2.412060301507537845e-03,1.157910339226715008e-15,1.157910339226715008e-15,1.157910339226715008e-15,1.157910339226715008e-15
